"filename", "language", "JSON", "CSS", "Markdown", "HTML", "JavaScript JSX", "JavaScript", "XML", "comment", "blank", "total"
"c:\Users\ndlov\Documents\strava-app\src\components\SideBar\LeftDashboardAthleteSidebarComponents\AthleteStatsTabs.jsx", "JavaScript JSX", 0, 0, 0, 0, 200, 0, 0, 6, 17, 223
"c:\Users\ndlov\Documents\strava-app\src\components\SideBar\LeftDashboardAthleteSidebarComponents\CyclingBikeSvg.jsx", "JavaScript JSX", 0, 0, 0, 0, 64, 0, 0, 0, 3, 67
"c:\Users\ndlov\Documents\strava-app\src\components\SideBar\LeftDashboardAthleteSidebarComponents\RunningShoeSvg.jsx", "JavaScript JSX", 0, 0, 0, 0, 64, 0, 0, 0, 3, 67
"c:\Users\ndlov\Documents\strava-app\src\components\SideBar\LeftDashboardAthleteSidebarComponents\SwimWaveSvg.jsx", "JavaScript JSX", 0, 0, 0, 0, 64, 0, 0, 0, 3, 67
"c:\Users\ndlov\Documents\strava-app\src\components\SideBar\LeftDashboardAthleteSidebarComponents\TabsCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 66, 0, 0, 1, 3, 70
"c:\Users\ndlov\Documents\strava-app\src\components\SideBar\LeftDashboardAthleteSidebarComponents\WeeksStyleSvg.jsx", "JavaScript JSX", 0, 0, 0, 0, 138, 0, 0, 5, 8, 151
"c:\Users\ndlov\Documents\strava-app\src\components\SideBar\PostsDashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 336, 0, 0, 18, 20, 374
"c:\Users\ndlov\Documents\strava-app\src\components\SideBar\RightDashboardAthleteSidebar.jsx", "JavaScript JSX", 0, 0, 0, 0, 221, 0, 0, 0, 12, 233
"c:\Users\ndlov\Documents\strava-app\src\components\SideBar\index.js", "JavaScript", 0, 0, 0, 0, 0, 8, 0, 0, 2, 10
"c:\Users\ndlov\Documents\strava-app\src\components\SideBar\sidebarStyles\CenterDashboardAthleteSidebar.css", "CSS", 0, 194, 0, 0, 0, 0, 0, 2, 41, 237
"c:\Users\ndlov\Documents\strava-app\src\components\SideBar\sidebarStyles\LeftDashboardAthleteSidebar.css", "CSS", 0, 314, 0, 0, 0, 0, 0, 3, 67, 384
"c:\Users\ndlov\Documents\strava-app\src\components\SideBar\sidebarStyles\RightDashboardAthleteSidebar.css", "CSS", 0, 190, 0, 0, 0, 0, 0, 4, 32, 226
"c:\Users\ndlov\Documents\strava-app\src\components\SignUpFooter\SignUpFooter.css", "CSS", 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\ndlov\Documents\strava-app\src\components\SignUpFooter\SignUpFooter.jsx", "JavaScript JSX", 0, 0, 0, 0, 144, 0, 0, 0, 6, 150
"c:\Users\ndlov\Documents\strava-app\src\components\SignUpHeader\SignUpHeader.jsx", "JavaScript JSX", 0, 0, 0, 0, 47, 0, 0, 0, 4, 51
"c:\Users\ndlov\Documents\strava-app\src\components\UploadActivitiesSideBar\UploadActivitiesSideBar.css", "CSS", 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\ndlov\Documents\strava-app\src\components\UploadActivitiesSideBar\UploadActivitiesSideBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 44, 0, 0, 0, 3, 47
"c:\Users\ndlov\Documents\strava-app\src\components\UserActivitiesDropdownToggle\UserActivitiesDropdownToggle.css", "CSS", 0, 6, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\ndlov\Documents\strava-app\src\components\UserActivitiesDropdownToggle\UserActivitiesDropdownToggle.jsx", "JavaScript JSX", 0, 0, 0, 0, 39, 0, 0, 0, 5, 44
"c:\Users\ndlov\Documents\strava-app\src\components\UserProfileForm\ProfileComponent.jsx", "JavaScript JSX", 0, 0, 0, 0, 41, 0, 0, 4, 9, 54
"c:\Users\ndlov\Documents\strava-app\src\components\UserProfileForm\UserProfileForm.css", "CSS", 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\ndlov\Documents\strava-app\src\components\UserProfileForm\UserProfileForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 310, 0, 0, 8, 14, 332
"c:\Users\ndlov\Documents\strava-app\src\components\UserProfile\SearchUserProfile.jsx", "JavaScript JSX", 0, 0, 0, 0, 176, 0, 0, 10, 19, 205
"c:\Users\ndlov\Documents\strava-app\src\components\UserProfile\UserProfile.css", "CSS", 0, 120, 0, 0, 0, 0, 0, 0, 18, 138
"c:\Users\ndlov\Documents\strava-app\src\components\UserProfile\UserProfile.jsx", "JavaScript JSX", 0, 0, 0, 0, 100, 0, 0, 0, 9, 109
"c:\Users\ndlov\Documents\strava-app\src\components\UserSettingsNav\UserAccountNav.jsx", "JavaScript JSX", 0, 0, 0, 0, 62, 0, 0, 0, 6, 68
"c:\Users\ndlov\Documents\strava-app\src\components\UserSettingsNav\UserSettingsNav.css", "CSS", 0, 47, 0, 0, 0, 0, 0, 0, 12, 59
"c:\Users\ndlov\Documents\strava-app\src\components\UserSettingsNav\UserSettingsNav.jsx", "JavaScript JSX", 0, 0, 0, 0, 52, 0, 0, 0, 3, 55
"c:\Users\ndlov\Documents\strava-app\src\data\config.json", "JSON", 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\ndlov\Documents\strava-app\src\firebase\firebase.js", "JavaScript", 0, 0, 0, 0, 0, 22, 0, 5, 5, 32
"c:\Users\ndlov\Documents\strava-app\src\images\celebration_bronze_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
